iid,pid,que,ans,
1,1,Caring for my wound,"Caring for my wound at home:
1. Only take medicine as told by your doctor.
2. Clean the wound daily with mild soap and water.
3. Change any bandages (dressings) as told by your doctor.
4. Put medicated cream and a bandage on the wound as told by your doctor.
5. Change the bandage if it gets wet, dirty, or starts to smell.
6. Take showers. Do not take baths, swim, or do anything that puts your wound under water.
7. Rest and raise (elevate) the wound until the pain and puffiness (swelling) are better.
8. Keep all doctor visits as told.

Common occurrences:
1. Stitches, staples, glue and tape normally cause some redness and swelling where the stitch enters the skin, along with mild irritation and itching. 
2. Some drainage from the cut may be expected, but if the discharge does not decrease after a few days, becomes bright red with blood, or contains pus, contact your doctor.
1. For stitches (sutures) or staples:
1. Keep the cut clean and dry.
2. If you have a bandage (dressing), change it at least once a day. Change the bandage if it gets wet or dirty, or as told by your doctor.
3. Wash the cut with soap and water 2 times a day. Rinse the cut with water. Pat it dry with a clean towel.
4. Put a thin layer of medicated cream on the cut as told by your doctor.
5. You may shower after the first 24 hours. Do not soak the cut in water until the stitches are removed.
6. Only take medicines as told by your doctor.
7. Have your stitches or staples removed as told by your doctor.

For skin adhesive strips:
1. Keep the cut clean and dry.
2. Do not get the strips wet. You may take a bath, but be careful to keep the cut dry.
3. If the cut gets wet, pat it dry with a clean towel.
4. The strips will fall off on their own. Do not remove the strips that are still stuck to the cut.

For wound glue:
1. You may shower or take baths. Do not soak or scrub the cut. Do not swim. Avoid heavy sweating until the glue falls off on its own. After a shower or bath, pat the cut dry with a clean towel.
2. Do not put medicine on your cut until the glue falls off.
3. If you have a bandage, do not put tape over the glue.
4. Avoid lots of sunlight or tanning lamps until the glue falls off. Put sunscreen on the cut for the first year to reduce your scar.
5. The glue will fall off on its own. Do not pick at the glue.
",
2,1,Do I need a tetanus shot?,"1. Talk to your health care provider to make sure your immunizations are up to date. You can get tetanus whenever you have a break in the skin. 
2. If you have never had a tetanus shot or cannot remember you last shot it is recommended that you get one. You should have received a series of three tetanus injections as an infant, with periodic boosters.",
3,1,Wound care do not's,"1. Scrub or rub wound.
2. Remove the tape strips from wound unless your doctor tells you to.
3. Use lotion or powder on wound.
4. Expose wound to sunlight.
5. Take a bath unless you can keep the incision dry. Instead, take showers or sponge baths until your doctor says it's okay to take baths. Before you shower, cover the dressing with a plastic bag or use another method of keeping it dry.
",
4,1,Cleaning my wound,"1. Gently wash it with soap and water to remove any dirt or crusting.
2. Do not scrub or soak the wound.
3. Change bandage and dressing.
4. Do not use rubbing alcohol, hydrogen peroxide, or iodine, which can harm the tissue and slow wound healing.
5. Air-dry the wound or pat it dry with a clean, fresh towel before reapplying the dressing.
",
5,1,Changing my bandaging,"Before you start, make sure you have gauze pads, a box of medical gloves, surgical tape, a plastic bag, and scissors. 
1. Prepare supplies by opening the gauze packages and cutting new tape strips.
2. Put on medical gloves
3. Loosen the tape around the old dressing
4. Remove the old dressing
5. Remove the gloves
6. Clean wound
7. Wash your hands, and put on another pair of medical gloves
8. Inspect the wound for signs of infection
9. Hold a clean, sterile gauze pad by the corner and place over the wound
10. Tape all four sides of the gauze pad
11. Put all trash, including gloves, in a plastic bag and throw it away
12. Wash your hands
13. The tape strips may be removed in 1 每 2 weeks as instructed by your doctor. Pull each tape end in towards the incision to remove.
14. A small amount of bleeding is not unusual; do not be alarmed.
15. If there is bleeding or if the outer layer of gauze becomes wet remove it and apply another dressing over the tape strips.",
6,1,How do I properly wash my hands?,"1. Wet your hands.
2. Add soap.
3. Lather and Scrub for 20 seconds.
4. Rinse for 10 seconds.
5. Turn of tap using paper towel.
6. Dry your hands.",
7,1,What to do if my wound is bleeding?,"1. If bleeding occurs from the wound, cover with a gauze or towel and apply firm direct pressure without letting go for 5 full minutes by the clock. This gives time for a clot to form. 
2. If this does not stop bleeding, return to the hospital promptly.
",
8,1,Get help right away if:,"Call your doctor if you notice signs of an infection, such as:
1. A yellow or green fluid (pus) comes from wound.
2. A change in the odor of the discharge.
3. A change in the size of the wound.
4. Redness or hardening of the surrounding area.
5. The wound is hot to the touch.
6. Fever.
7. Increasing or unusual pain.
8. Medication does not lessen your pain.
9. Uncontrolled bleeding.
",
9,1,Where can I go for help?,"Avoiding future trips to the Emergency Department: 

Our emergency care services are always here for you when you need them, but here are a few tips to help you avoid making any unnecessary visits:
1. Always check with family physician first if you believe your symptoms to be non-life threatening. 
2. Ask your doctor's office about backup coverage, on-call services or after-hours clinics 每 especially during holiday periods.
3. If you don＊t have a family physician check this list for physicians in the Brampton and Etobicoke area who are taking on new patients.
4. Fill all prescriptions well before they run out 每 particularly during holiday seasons when many doctor＊s offices and pharmacies may be closed. Make sure you also know where the closest 24-hour pharmacy is located in case you need to get a prescription refill. Important: we do not give prescription refills for narcotics.
5. Remind visitors from outside Ontario to have their health insurance information available.
6. Urgent Care Clinic at Brampton Civic Hospital (inside the Emergency Department). This Clinic is a good choice for any illness or injury that is not life threatening, like broken bones, sprains, cuts, coughs and colds). Hours:  8:00 a.m. - 11:00 p.m., 7 days a week.

If you have an emergency
1. If you are not sure whether the health issue",
10,1,When should I book a follow up appointment?,"1. Book follow-up appointment with physician, to oversee the healing process.
2. If sutures or staples are in place, it is important to keep your appointment for removal.",
11,2,Common symptoms and I can experience?,"You have been diagnosed with a head injury. The symptoms associated with a head injury may vary. This may impact your ability to partake in normal daily activities. It is important you get plenty of rest and do not engage in physically demanding activities until your doctor clears you to do so. After injuries most problems occur within the first 24 hrs. Symptoms that are common with a concussion and should stop within 7-10 days include:
1. Memory difficulties
2. Dizziness
3. Headaches
4. Double Vision
5. Hearing difficulties
6. Depression, change of mental state
7. Tiredness
8. Weakness
9. Difficulty with concentration
If you experience any of these problems, you should not be alarmed. Although it is unlikely that serious side effects will occur, you should be aware of signs and symptoms which may necessitate your return to this location. Side effects may occur up to 7 每 10 days following the injury. 
A concussion requires a few days for recovery. Many patients with head injuries frequently experience such symptoms. Usually, these problems disappear without medical care. If symptoms last for more than one day, notify your caregiver. It is important for ",
12,2,Caring for my head injury,"1. Do not drink alcoholic beverages.
2. Avoid strenuous activities. No heavy lifting, bending, or straining.
3. Do not drive or operate heavy machinery until your doctor clears you to do so.
4. Do not take sedatives, tranquilizers or other medicine that make you sleepy.
5. Avoid medicine containing aspirin or anti-inflammatory medications, such as ibuprofen (Motrin, Advil), Naprosyn, etc.
6. You should not be left alone.
7. Get lots of rest.
8. Apply ice to head injury.
",
13,2,Get help right away if:,"Get help right away if you notice any of these symptoms and/or get worse:
1. There is confusion or drowsiness.
2. You cannot awaken the injured person.
3. There is nausea (feeling sick to your stomach) or continued, forceful vomiting.
4. You notice dizziness or unsteadiness which is getting worse, or inability to walk.
5. You experience severe, persistent headaches not relieved by over-the-counter or prescription medicines for pain. 
6. There is clear or bloody discharge from the nose or ears.
7. Increasing confusion, drowsiness or any change in alertness.
8. Loss of memory.
9. Trouble walking or staggering.
10. Trouble speaking or slurred speech.
11. Convulsions or seizures. These are twitching or jerking movements of the eyes, arms, legs or body. 
12. A change in the size of one pupil (black part of your eye) as compared to the other eye.
13. Weakness or numbness of an arm or leg.
14. Stiff neck or fever.
15. Blurry vision, double vision or other problems with your eyesight.
16. Bleeding or clear liquid drainage from your ears or nose.
17. Very sleepy (more than expected) or hard to wake up.
18. Unusual sounds in the ear.
19. Intolerance to bright lights.
",
